Red,Green,Blue
0.246,0.420,0.333
0.250,0.419,0.331
0.256,0.419,0.326
0.265,0.412,0.324
0.266,0.413,0.322
0.271,0.410,0.319
0.272,0.411,0.318
0.274,0.402,0.323
0.270,0.402,0.328
0.266,0.410,0.324
0.259,0.420,0.322
0.259,0.425,0.316
0.251,0.433,0.316
0.251,0.433,0.316
0.244,0.440,0.315
0.243,0.444,0.314
0.241,0.443,0.316
0.237,0.445,0.318
0.237,0.445,0.318
0.237,0.446,0.316
0.238,0.448,0.315
0.238,0.449,0.314
0.233,0.450,0.317
0.233,0.453,0.314
0.235,0.451,0.315
0.229,0.458,0.314
0.231,0.456,0.313
0.230,0.459,0.311
0.232,0.458,0.310
0.231,0.456,0.312
0.230,0.454,0.316
0.232,0.458,0.311
0.226,0.457,0.317
0.227,0.455,0.318
0.229,0.453,0.318
0.230,0.448,0.323
0.227,0.445,0.328
0.227,0.435,0.338
0.225,0.431,0.344
0.222,0.425,0.353
0.221,0.421,0.357
0.223,0.417,0.360
0.221,0.416,0.363
0.221,0.411,0.368
0.220,0.408,0.372
0.217,0.406,0.377
0.218,0.400,0.382
0.221,0.395,0.384
0.217,0.395,0.388
0.218,0.395,0.387
0.222,0.391,0.387
0.221,0.390,0.390
0.221,0.388,0.392
0.223,0.385,0.392
0.226,0.383,0.391
0.228,0.384,0.388
0.229,0.385,0.385
0.230,0.388,0.383
0.230,0.387,0.382
0.229,0.388,0.383
0.231,0.387,0.382
0.231,0.387,0.382
0.228,0.386,0.386
0.227,0.387,0.387
0.223,0.386,0.391
0.225,0.385,0.390
0.229,0.383,0.388
0.230,0.382,0.387
0.229,0.381,0.390
0.227,0.382,0.391
0.228,0.373,0.399
0.231,0.373,0.396
0.228,0.380,0.392
0.226,0.377,0.397
0.226,0.376,0.398
0.219,0.383,0.398
0.218,0.378,0.403
0.212,0.381,0.407
0.210,0.390,0.400
0.214,0.388,0.398
0.219,0.385,0.396
0.230,0.380,0.390
0.240,0.380,0.380
0.231,0.389,0.380
0.229,0.382,0.389
0.221,0.383,0.396
