Red,Green,Blue,Class
20,41,43,1
21,41,43,1
22,43,46,1
23,45,49,1
25,48,52,1
27,51,56,1
28,53,58,1
29,55,59,1
29,55,61,1
29,55,61,1
28,54,60,1
28,53,59,1
28,52,58,1
27,52,58,1
26,51,56,1
25,50,54,1
23,48,52,1
23,48,51,1
23,48,51,1
24,49,52,1
24,49,52,1
24,50,53,1
26,52,56,1
27,53,58,1
28,55,60,1
29,57,62,1
30,61,67,1
29,58,63,1
26,53,57,1
25,52,58,1
23,47,51,1
23,45,49,1
22,44,48,1
22,43,46,1
20,40,44,1
20,40,43,1
20,40,43,1
20,40,43,1
19,40,44,1
19,40,43,1
19,39,42,1
19,39,41,1
18,37,40,1
17,35,37,1
17,33,35,1
16,31,33,1
15,29,30,1
15,28,28,1
15,26,27,1
16,25,26,1
16,25,26,1
16,25,26,1
17,25,26,1
17,26,27,1
16,25,26,1
15,25,25,1
14,24,24,1
14,25,26,1
14,26,27,1
15,28,29,1
16,30,32,1
17,33,36,1
19,36,39,1
20,38,41,1
20,38,42,1
20,39,42,1
20,40,43,1
21,40,44,1
20,40,44,1
20,40,44,1
20,39,43,1
20,39,43,1
20,38,42,1
20,37,41,1
20,37,41,1
20,37,41,1
20,37,40,1
20,38,41,1
20,38,41,1
21,40,42,1
21,41,44,1
22,43,46,1
21,43,46,1
21,42,46,1
21,41,45,1
20,40,44,1
20,39,43,1
20,39,43,1
20,39,42,1
20,39,43,1
20,39,42,1
20,38,41,1
20,37,41,1
19,36,39,1
18,34,38,1
17,32,35,1
16,30,33,1
16,29,32,1
15,27,29,1
14,25,27,1
13,23,24,1
14,24,25,1
14,25,26,1
13,24,25,1
12,21,22,1
10,18,19,1
8,15,14,1
7,14,13,1
8,14,14,1
8,15,15,1
9,16,16,1
9,16,16,1
9,16,16,1
8,16,16,1
8,16,16,1
8,16,16,1
8,16,16,1
9,16,16,1
9,17,16,1
9,17,17,1
10,19,19,1
11,21,21,1
12,22,23,1
12,24,25,1
13,26,27,1
14,27,29,1
15,29,31,1
15,31,34,1
16,34,36,1
17,36,38,1
18,37,40,1
19,39,41,1
20,39,42,1
21,41,44,1
22,40,44,1
22,40,45,1
23,41,45,1
23,40,45,1
23,40,44,1
23,40,44,1
23,39,44,1
22,38,42,1
21,36,41,1
21,36,42,1
21,37,44,1
23,40,48,1
26,43,52,1
29,46,56,1
31,49,59,1
30,49,59,1
29,48,58,1
27,46,56,1
26,45,53,1
25,43,49,1
23,41,46,1
22,39,43,1
22,37,41,1
22,37,42,1
21,37,41,1
21,36,40,1
21,35,40,1
21,35,40,1
20,33,37,1
20,34,38,1
20,34,39,1
20,34,38,1
19,33,37,1
18,32,35,1
17,31,34,1
16,30,33,1
17,32,34,1
18,36,38,1
20,39,41,1
21,41,44,1
22,43,46,1
23,44,47,1
24,45,49,1
25,47,50,1
27,49,53,1
29,53,57,1
31,55,59,1
33,57,62,1
34,58,63,1
34,56,62,1
32,51,58,1
27,43,50,1
22,34,40,1
17,26,31,1
13,20,24,1
10,16,18,1
10,15,17,1
9,14,15,1
8,13,13,1
8,12,12,1
7,12,12,1
8,13,14,1
10,15,18,1
13,20,23,1
15,23,27,1
16,24,28,1
18,27,31,1
18,28,33,1
19,28,33,1
20,31,36,1
20,32,37,1
18,28,33,1
14,22,25,1
11,18,20,1
10,16,18,1
9,14,16,1
9,14,16,1
9,14,16,1
9,15,16,1
9,15,16,1
9,14,16,1
9,14,15,1
9,14,15,1
9,14,15,1
9,14,14,1
8,14,14,1
8,14,13,1
8,14,13,1
8,14,13,1
8,14,14,1
9,15,14,1
9,15,14,1
9,15,15,1
9,16,15,1
9,16,16,1
10,17,16,1
10,17,17,1
11,18,18,1
11,19,20,1
12,21,21,1
13,22,23,1
14,24,25,1
14,25,26,1
14,26,27,1
15,27,29,1
15,28,30,1
15,29,32,1
16,30,33,1
16,31,34,1
17,32,36,1
17,33,37,1
18,35,39,1
18,35,39,1
18,34,38,1
17,32,37,1
16,30,35,1
14,26,32,1
14,27,32,1
14,27,31,1
15,29,34,1
18,33,38,1
19,35,41,1
19,35,41,1
17,31,37,1
14,26,31,1
11,21,25,1
10,18,21,1
9,17,20,1
9,16,19,1
11,19,22,1
12,21,25,1
12,22,26,1
13,23,26,1
13,23,27,1
13,23,28,1
14,25,29,1
13,25,29,1
13,24,28,1
12,23,26,1
12,22,24,1
11,20,22,1
11,19,21,1
11,19,21,1
10,18,20,1
11,19,20,1
11,19,20,1
10,17,18,1
9,15,15,1
7,12,12,1
6,10,10,1
6,10,9,1
6,10,9,1
6,10,9,1
6,11,9,1
6,11,10,1
6,12,10,1
7,12,10,1
7,12,10,1
7,12,10,1
7,12,9,1
6,12,9,1
6,12,9,1
6,12,8,1
6,10,7,1
6,10,7,1
5,10,7,1
5,10,7,1
5,9,6,1
4,7,5,1
3,6,4,1
3,4,3,1
3,4,3,1
4,5,4,1
4,6,4,1
6,8,6,1
7,12,8,1
9,16,12,1
10,19,14,1
11,21,15,1
12,23,16,1
13,25,18,1
13,27,19,1
13,27,19,1
13,28,19,1
13,28,19,1
13,27,19,1
11,25,17,1
9,20,13,1
6,13,8,1
4,7,5,1
4,6,4,1
5,9,6,1
6,12,8,1
8,15,11,1
9,18,13,1
10,20,15,1
10,20,15,1
10,20,15,1
