Red,Green,Blue
0.344,0.349,0.307
0.354,0.344,0.302
0.361,0.341,0.298
0.371,0.340,0.289
0.387,0.333,0.280
0.421,0.317,0.262
0.439,0.309,0.252
0.449,0.301,0.250
0.461,0.297,0.242
0.475,0.287,0.238
0.479,0.281,0.240
0.472,0.285,0.244
0.451,0.301,0.248
0.415,0.327,0.258
0.388,0.351,0.261
0.370,0.365,0.265
0.372,0.363,0.265
0.376,0.359,0.265
0.381,0.357,0.262
0.384,0.355,0.260
0.388,0.352,0.260
0.388,0.345,0.267
0.393,0.339,0.268
0.395,0.343,0.262
0.403,0.340,0.258
0.395,0.347,0.259
0.399,0.348,0.254
0.390,0.348,0.262
0.385,0.350,0.266
0.379,0.346,0.275
0.364,0.346,0.290
0.355,0.349,0.295
0.359,0.347,0.294
0.359,0.347,0.293
0.367,0.349,0.283
0.370,0.352,0.278
0.385,0.348,0.267
0.382,0.352,0.267
0.384,0.349,0.267
0.389,0.344,0.267
0.392,0.344,0.265
0.391,0.345,0.264
0.387,0.348,0.265
0.388,0.350,0.262
0.385,0.356,0.260
0.385,0.356,0.260
0.384,0.360,0.256
0.383,0.363,0.254
0.376,0.365,0.260
0.361,0.373,0.266
0.346,0.382,0.272
0.336,0.385,0.279
0.339,0.383,0.278
0.346,0.375,0.279
0.348,0.371,0.281
0.348,0.362,0.290
0.339,0.356,0.305
0.338,0.351,0.311
0.340,0.351,0.309
0.333,0.370,0.296
0.362,0.371,0.267
0.387,0.372,0.241
0.390,0.370,0.240
0.389,0.369,0.242
0.386,0.373,0.241
0.382,0.370,0.248
0.382,0.370,0.249
0.380,0.374,0.246
0.382,0.371,0.247
0.375,0.375,0.250
0.373,0.373,0.254
0.369,0.374,0.257
0.361,0.374,0.265
0.359,0.376,0.266
0.357,0.373,0.270
0.355,0.375,0.270
0.355,0.376,0.269
0.358,0.376,0.266
0.356,0.376,0.267
0.359,0.376,0.265
0.366,0.373,0.261
0.377,0.370,0.253
0.387,0.365,0.248
0.386,0.364,0.250
0.391,0.361,0.248
0.394,0.364,0.242
0.396,0.360,0.245
