Red,Green,Blue,RedRatio,GreenRatio,BlueRatio,Class
76,79,58,0.357,0.371,0.272,0
81,82,60,0.363,0.368,0.269,0
85,84,59,0.373,0.368,0.259,0
86,85,59,0.374,0.370,0.257,0
86,85,57,0.377,0.373,0.250,0
84,82,57,0.377,0.368,0.256,0
83,80,55,0.381,0.367,0.252,0
83,78,54,0.386,0.363,0.251,0
83,75,55,0.390,0.352,0.258,0
84,75,55,0.393,0.350,0.257,0
86,75,56,0.396,0.346,0.258,0
87,73,55,0.405,0.340,0.256,0
87,69,53,0.416,0.330,0.254,0
87,67,53,0.420,0.324,0.256,0
89,68,54,0.422,0.322,0.256,0
90,68,54,0.425,0.321,0.255,0
92,68,54,0.430,0.318,0.252,0
94,68,55,0.433,0.313,0.253,0
97,67,54,0.445,0.307,0.248,0
100,67,54,0.452,0.303,0.244,0
104,73,57,0.444,0.312,0.244,0
106,80,60,0.431,0.325,0.244,0
106,88,63,0.412,0.342,0.245,0
99,94,63,0.387,0.367,0.246,0
88,91,60,0.368,0.381,0.251,0
68,78,55,0.338,0.388,0.274,0
45,60,46,0.298,0.397,0.305,0
36,54,44,0.269,0.403,0.328,0
36,56,45,0.263,0.409,0.328,0
43,62,48,0.281,0.405,0.314,0
56,74,52,0.308,0.407,0.286,0
74,89,59,0.333,0.401,0.266,0
93,103,66,0.355,0.393,0.252,0
105,111,71,0.366,0.387,0.247,0
106,110,70,0.371,0.385,0.245,0
104,106,67,0.375,0.383,0.242,0
99,101,64,0.375,0.383,0.242,0
96,97,62,0.376,0.380,0.243,0
98,97,63,0.380,0.376,0.244,0
96,93,61,0.384,0.372,0.244,0
88,85,57,0.383,0.370,0.248,0
79,76,51,0.383,0.369,0.248,0
64,62,41,0.383,0.371,0.246,0
45,44,28,0.385,0.376,0.239,0
38,38,23,0.384,0.384,0.232,0
48,48,29,0.384,0.384,0.232,0
54,55,33,0.380,0.387,0.232,0
62,65,40,0.371,0.389,0.240,0
70,73,46,0.370,0.386,0.243,0
75,78,50,0.369,0.384,0.246,0
77,81,52,0.367,0.386,0.248,0
69,75,50,0.356,0.387,0.258,0
54,61,43,0.342,0.386,0.272,0
40,49,38,0.315,0.386,0.299,0
38,42,39,0.319,0.353,0.328,0
38,44,39,0.314,0.364,0.322,0
51,51,38,0.364,0.364,0.271,0
73,65,46,0.397,0.353,0.250,0
87,75,53,0.405,0.349,0.247,0
92,78,56,0.407,0.345,0.248,0
89,74,54,0.410,0.341,0.249,0
84,65,50,0.422,0.327,0.251,0
81,59,46,0.435,0.317,0.247,0
83,62,49,0.428,0.320,0.253,0
85,67,52,0.417,0.328,0.255,0
85,70,54,0.407,0.335,0.258,0
85,72,55,0.401,0.340,0.259,0
86,75,57,0.394,0.344,0.261,0
86,77,58,0.389,0.348,0.262,0
87,79,59,0.387,0.351,0.262,0
88,82,59,0.384,0.358,0.258,0
90,85,61,0.381,0.360,0.258,0
92,88,63,0.379,0.362,0.259,0
95,91,64,0.380,0.364,0.256,0
98,93,65,0.383,0.363,0.254,0
101,95,66,0.385,0.363,0.252,0
105,99,68,0.386,0.364,0.250,0
111,105,71,0.387,0.366,0.247,0
115,109,74,0.386,0.366,0.248,0
118,111,75,0.388,0.365,0.247,0
118,111,75,0.388,0.365,0.247,0
118,112,75,0.387,0.367,0.246,0
118,113,76,0.384,0.368,0.248,0
117,114,77,0.380,0.370,0.250,0
119,117,80,0.377,0.370,0.253,0
121,122,83,0.371,0.374,0.255,0
122,124,85,0.369,0.375,0.257,0
123,127,87,0.365,0.377,0.258,0
124,128,88,0.365,0.376,0.259,0
128,132,90,0.366,0.377,0.257,0
131,135,92,0.366,0.377,0.257,0
131,136,93,0.364,0.378,0.258,0
132,138,94,0.363,0.379,0.258,0
130,137,94,0.360,0.380,0.260,0
130,137,95,0.359,0.378,0.262,0
132,139,95,0.361,0.380,0.260,0
131,138,95,0.360,0.379,0.261,0
125,133,92,0.357,0.380,0.263,0
124,132,92,0.356,0.379,0.264,0
123,131,91,0.357,0.380,0.264,0
121,130,91,0.354,0.380,0.266,0
121,129,90,0.356,0.379,0.265,0
119,128,89,0.354,0.381,0.265,0
118,126,89,0.354,0.378,0.267,0
115,122,86,0.356,0.378,0.266,0
109,117,83,0.353,0.379,0.269,0
98,104,75,0.354,0.375,0.271,0
97,104,75,0.351,0.377,0.272,0
100,106,77,0.353,0.375,0.272,0
107,115,83,0.351,0.377,0.272,0
111,119,85,0.352,0.378,0.270,0
117,125,89,0.353,0.378,0.269,0
120,127,90,0.356,0.377,0.267,0
116,124,88,0.354,0.378,0.268,0
114,122,87,0.353,0.378,0.269,0
113,121,86,0.353,0.378,0.269,0
110,118,85,0.351,0.377,0.272,0
105,114,82,0.349,0.379,0.272,0
101,110,80,0.347,0.378,0.275,0
