RedRatio,GreenRatio,BlueRatio,Class
0.357,0.371,0.272,0
0.363,0.368,0.269,0
0.373,0.368,0.259,0
0.374,0.370,0.257,0
0.377,0.373,0.250,0
0.377,0.368,0.256,0
0.381,0.367,0.252,0
0.386,0.363,0.251,0
0.390,0.352,0.258,0
0.393,0.350,0.257,0
0.396,0.346,0.258,0
0.405,0.340,0.256,0
0.416,0.330,0.254,0
0.420,0.324,0.256,0
0.422,0.322,0.256,0
0.425,0.321,0.255,0
0.430,0.318,0.252,0
0.433,0.313,0.253,0
0.445,0.307,0.248,0
0.452,0.303,0.244,0
0.444,0.312,0.244,0
0.431,0.325,0.244,0
0.412,0.342,0.245,0
0.387,0.367,0.246,0
0.368,0.381,0.251,0
0.338,0.388,0.274,0
0.298,0.397,0.305,0
0.269,0.403,0.328,0
0.263,0.409,0.328,0
0.281,0.405,0.314,0
0.308,0.407,0.286,0
0.333,0.401,0.266,0
0.355,0.393,0.252,0
0.366,0.387,0.247,0
0.371,0.385,0.245,0
0.375,0.383,0.242,0
0.375,0.383,0.242,0
0.376,0.380,0.243,0
0.380,0.376,0.244,0
0.384,0.372,0.244,0
0.383,0.370,0.248,0
0.383,0.369,0.248,0
0.383,0.371,0.246,0
0.385,0.376,0.239,0
0.384,0.384,0.232,0
0.384,0.384,0.232,0
0.380,0.387,0.232,0
0.371,0.389,0.240,0
0.370,0.386,0.243,0
0.369,0.384,0.246,0
0.367,0.386,0.248,0
0.356,0.387,0.258,0
0.342,0.386,0.272,0
0.315,0.386,0.299,0
0.319,0.353,0.328,0
0.314,0.364,0.322,0
0.364,0.364,0.271,0
0.397,0.353,0.250,0
0.405,0.349,0.247,0
0.407,0.345,0.248,0
0.410,0.341,0.249,0
0.422,0.327,0.251,0
0.435,0.317,0.247,0
0.428,0.320,0.253,0
0.417,0.328,0.255,0
0.407,0.335,0.258,0
0.401,0.340,0.259,0
0.394,0.344,0.261,0
0.389,0.348,0.262,0
0.387,0.351,0.262,0
0.384,0.358,0.258,0
0.381,0.360,0.258,0
0.379,0.362,0.259,0
0.380,0.364,0.256,0
0.383,0.363,0.254,0
0.385,0.363,0.252,0
0.386,0.364,0.250,0
0.387,0.366,0.247,0
0.386,0.366,0.248,0
0.388,0.365,0.247,0
0.388,0.365,0.247,0
0.387,0.367,0.246,0
0.384,0.368,0.248,0
0.380,0.370,0.250,0
0.377,0.370,0.253,0
0.371,0.374,0.255,0
0.369,0.375,0.257,0
0.365,0.377,0.258,0
0.365,0.376,0.259,0
0.366,0.377,0.257,0
0.366,0.377,0.257,0
0.364,0.378,0.258,0
0.363,0.379,0.258,0
0.360,0.380,0.260,0
0.359,0.378,0.262,0
0.361,0.380,0.260,0
0.360,0.379,0.261,0
0.357,0.380,0.263,0
0.356,0.379,0.264,0
0.357,0.380,0.264,0
0.354,0.380,0.266,0
0.356,0.379,0.265,0
0.354,0.381,0.265,0
0.354,0.378,0.267,0
0.356,0.378,0.266,0
0.353,0.379,0.269,0
0.354,0.375,0.271,0
0.351,0.377,0.272,0
0.353,0.375,0.272,0
0.351,0.377,0.272,0
0.352,0.378,0.270,0
0.353,0.378,0.269,0
0.356,0.377,0.267,0
0.354,0.378,0.268,0
0.353,0.378,0.269,0
0.353,0.378,0.269,0
0.351,0.377,0.272,0
0.349,0.379,0.272,0
0.347,0.378,0.275,0
0.346,0.381,0.273,0
0.345,0.380,0.275,0
0.345,0.378,0.276,0
0.342,0.377,0.281,0
0.343,0.376,0.282,0
0.340,0.379,0.281,0
0.339,0.379,0.282,0
0.336,0.378,0.286,0
0.337,0.376,0.288,0
0.333,0.376,0.290,0
